class,text
1,pánovi bánovi veľmi chýba slušná výchova a rešpekt. pani prezidentka nie je jeho dieťa aby sa s ňou rozprával týmto tónom a ešte ju aj manipulatívne úkoloval.
1,marek kollar ..on je budar
1,peťo vinci dosť nešťastne vyjadrenie.
1,rony iron a vy máte nešťastné rozmýšľanie.  komu tým akože pomôžete keď nepôjdete voliť?? to je také ťažké sa premôcť a ísť?? každý prepadnúť hlas ide smeru lsns a sns.  potom nás už ani prezidentka nezachráni.
1,viac-menej si myslím
1,harry cefi váš problém je nevedomosť. nerozumiete rozdielu stíhaný / kiska/ a už obžalovaný / kotleba/. tu neriešte prezupciu neviny
1,harry cefi prosím vás a ako to mala povedať? keď dostala otázku akú dostala? viete my
1,harry cefi kiska čestný človek? čo sa to pre boha deje...
1,ano
1,kamila jarosová  veď som to tam napísala
1,julius ilovsky  ja som nenapísala
1,julius ilovsky  viete dobrý a pracovitý musí byť každý....... a práve na takej farme to aj hneď vidieť ak nieste..... všetko vám pokape alebo ujde :)
1,andrea aťa tomčáková tak hovoríte že ich treba voliť.... ak sa niekto dostane do parlamentu
1,andrea aťa tomčáková uz len to nam chyba ku stastiu aby nam zasadli do parlamentu podvodnici a cirkusanti magdosko s oravcom  majte zdravy rozum pani...
1,julius ilovsky  no úbohe je
1,michaela michallka debnárová  pre mňa za mňa nech tam ide naspäť fico
1,a vôbec sa mi nepáči
1,mne už začína byť jedno kto vyhrá ....len keby sa našiel niekto kto v tomto skorumpovanom štáte konečne urobí poriadok....je mi zle z toho čo sa tu deje a ľutujem naše deti a vnúčatá  a bojím sa čo ich čaká pri týchto finančné nenažratých politikoch....
1,caputka bude bránit vajdu
1,no už len kisku potrebujeme ku šťastiu!!!! prosím vás pani prezidentka
1,@angry_barista i baked you a cake but i ated it
1,ešteže mu odročili súd na marec
1,je nebezpečný
1,p. kotlebu bych vám opravdu neprala
1,fico uz s kotlebom pecie novu koaliciu a ich volici su na to pripraveni. preto zastavit ich mozeme len vo volbach. je to na nas
1,pani prezidentka kotleba bol prvý po volbách keď neuspel ako prezidentský kandidát
1,lebo naša polícia zlihala... nič nerobí co robia naši novinári.. za nich... je to ich vhyba
1,pani prezidenka to teras ste prisli nato sak  sa zobute slovaciii
1,some1 hacked my account on aim  now i have to make a new one
0,marek kollar hovoríte presne a vecne.som rovnakého názoru.
0,parlamentným voľbám sa vyhýbam už veľmi dlhú dobu
0,toto je 
0,god bless you prezidentkazuzana caputová
